Entity,Code,Year,Solar (TWh growth - equivalent)
Africa,,1972,0
Africa,,1973,0
Africa,,1974,0
Africa,,1975,0
Africa,,1976,0
Africa,,1977,0
Africa,,1978,0
Africa,,1979,0
Africa,,1980,0
Africa,,1981,0
Africa,,1982,0
Africa,,1983,0
Africa,,1984,0
Africa,,1985,0
Africa,,1986,0
Africa,,1987,0
Africa,,1988,0
Africa,,1989,0
Africa,,1990,0
Africa,,1991,0
Africa,,1992,0
Africa,,1993,0
Africa,,1994,0
Africa,,1995,0
Africa,,1996,0
Africa,,1997,0
Africa,,1998,0
Africa,,1999,0
Africa,,2000,0.035313889384269714
Africa,,2001,0.008641943335533142
Africa,,2002,0.0050877779722213745
Africa,,2003,0.009115274995565414
Africa,,2004,0.012631665915250778
Africa,,2005,0.013343892991542816
Africa,,2006,0.023727215826511383
Africa,,2007,0.03487112373113632
Africa,,2008,0.061435550451278687
Africa,,2009,0.06342999637126923
Africa,,2010,0.33206307888031006
Africa,,2011,1.0612940788269043
Africa,,2012,1.0608516931533813
Africa,,2013,-0.5754861831665039
Africa,,2014,3.0122082233428955
Africa,,2015,3.616818428039551
Africa,,2016,5.638067245483398
Africa,,2017,6.273898124694824
Africa,,2018,5.911617279052734
Africa,,2019,7.3900604248046875
Africa,,2020,8.186073303222656
Africa,,2021,1.0399742126464844
Africa (BP),,1972,0
Africa (BP),,1973,0
Africa (BP),,1974,0
Africa (BP),,1975,0
Africa (BP),,1976,0
Africa (BP),,1977,0
Africa (BP),,1978,0
Africa (BP),,1979,0
Africa (BP),,1980,0
Africa (BP),,1981,0
Africa (BP),,1982,0
Africa (BP),,1983,0
Africa (BP),,1984,0
Africa (BP),,1985,0
Africa (BP),,1986,0
Africa (BP),,1987,0
Africa (BP),,1988,0
Africa (BP),,1989,0
Africa (BP),,1990,0
Africa (BP),,1991,0
Africa (BP),,1992,0
Africa (BP),,1993,0
Africa (BP),,1994,0
Africa (BP),,1995,0
Africa (BP),,1996,0
Africa (BP),,1997,0
Africa (BP),,1998,0
Africa (BP),,1999,0
Africa (BP),,2000,0.03530944511294365
Africa (BP),,2001,0.008639998733997345
Africa (BP),,2002,0.005086112767457962
Africa (BP),,2003,0.009138889610767365
Africa (BP),,2004,0.012618884444236755
Africa (BP),,2005,0.013343609869480133
Africa (BP),,2006,0.023738056421279907
Africa (BP),,2007,0.03486139327287674
Africa (BP),,2008,0.061425283551216125
Africa (BP),,2009,0.06344026327133179
Africa (BP),,2010,0.3320666253566742
Africa (BP),,2011,1.0612878799438477
Africa (BP),,2012,1.0608508586883545
Africa (BP),,2013,-0.5754859447479248
Africa (BP),,2014,3.012207508087158
Africa (BP),,2015,3.6168084144592285
Africa (BP),,2016,5.638077735900879
Africa (BP),,2017,6.273898124694824
Africa (BP),,2018,5.911617279052734
Africa (BP),,2019,7.390056610107422
Africa (BP),,2020,8.186077117919922
Africa (BP),,2021,1.0399742126464844
Algeria,DZA,1966,0
Algeria,DZA,1967,0
Algeria,DZA,1968,0
Algeria,DZA,1969,0
Algeria,DZA,1970,0
Algeria,DZA,1971,0
Algeria,DZA,1972,0
Algeria,DZA,1973,0
Algeria,DZA,1974,0
Algeria,DZA,1975,0
Algeria,DZA,1976,0
Algeria,DZA,1977,0
Algeria,DZA,1978,0
Algeria,DZA,1979,0
Algeria,DZA,1980,0
Algeria,DZA,1981,0
Algeria,DZA,1982,0
Algeria,DZA,1983,0
Algeria,DZA,1984,0
Algeria,DZA,1985,0
Algeria,DZA,1986,0
Algeria,DZA,1987,0
Algeria,DZA,1988,0
Algeria,DZA,1989,0
Algeria,DZA,1990,0
Algeria,DZA,1991,0
Algeria,DZA,1992,0
Algeria,DZA,1993,0
Algeria,DZA,1994,0
Algeria,DZA,1995,0
Algeria,DZA,1996,0
Algeria,DZA,1997,0
Algeria,DZA,1998,0
Algeria,DZA,1999,0
Algeria,DZA,2000,0
Algeria,DZA,2001,0
Algeria,DZA,2002,0
Algeria,DZA,2003,0
Algeria,DZA,2004,0
Algeria,DZA,2005,0
Algeria,DZA,2006,0
Algeria,DZA,2007,0
Algeria,DZA,2008,0
Algeria,DZA,2009,0
Algeria,DZA,2010,0.02524999901652336
Algeria,DZA,2011,0.02473333477973938
Algeria,DZA,2012,0.023289445787668228
Algeria,DZA,2013,0.004674166440963745
Algeria,DZA,2014,0.08459888398647308
Algeria,DZA,2015,-0.006353333592414856
Algeria,DZA,2016,0.49968165159225464
Algeria,DZA,2017,0.6854161024093628
Algeria,DZA,2018,0.2540832757949829
Algeria,DZA,2019,0.025749564170837402
Algeria,DZA,2020,0.17788493633270264
Algeria,DZA,2021,-0.06153452396392822
Argentina,ARG,1966,0
Argentina,ARG,1967,0
Argentina,ARG,1968,0
Argentina,ARG,1969,0
Argentina,ARG,1970,0
Argentina,ARG,1971,0
Argentina,ARG,1972,0
Argentina,ARG,1973,0
Argentina,ARG,1974,0
Argentina,ARG,1975,0
Argentina,ARG,1976,0
