Entity,Code,Year,Solar (% growth)
Africa,,2001,25.28264617919922
Africa,,2002,12.297558784484863
Africa,,2003,19.402599334716797
Africa,,2004,22.471296310424805
Africa,,2005,19.606006622314453
Africa,,2006,29.025114059448242
Africa,,2007,33.14860916137695
Africa,,2008,43.92790985107422
Africa,,2009,31.887710571289062
Africa,,2010,125.4730224609375
Africa,,2011,178.6782684326172
Africa,,2012,64.86909484863281
Africa,,2013,-20.665603637695312
Africa,,2014,141.7906494140625
Africa,,2015,71.13180541992188
Africa,,2016,65.226806640625
Africa,,2017,44.377471923828125
Africa,,2018,29.332387924194336
Africa,,2019,28.256166458129883
Africa,,2020,24.5419979095459
Africa,,2021,2.842247486114502
Africa (BP),,2001,25.28264617919922
Africa (BP),,2002,12.29754638671875
Africa (BP),,2003,19.40262222290039
Africa (BP),,2004,22.471284866333008
Africa (BP),,2005,19.606006622314453
Africa (BP),,2006,29.025114059448242
Africa (BP),,2007,33.14860916137695
Africa (BP),,2008,43.92790985107422
Africa (BP),,2009,31.88772201538086
Africa (BP),,2010,125.4730224609375
Africa (BP),,2011,178.6782684326172
Africa (BP),,2012,64.86909484863281
Africa (BP),,2013,-20.665603637695312
Africa (BP),,2014,141.7906494140625
Africa (BP),,2015,71.13180541992188
Africa (BP),,2016,65.226806640625
Africa (BP),,2017,44.377471923828125
Africa (BP),,2018,29.332387924194336
Africa (BP),,2019,28.256166458129883
Africa (BP),,2020,24.5419979095459
Africa (BP),,2021,2.842247486114502
Algeria,DZA,2011,99.10713195800781
Algeria,DZA,2012,47.48817825317383
Algeria,DZA,2013,7.023859024047852
Algeria,DZA,2014,109.79020690917969
Algeria,DZA,2015,-3.333336114883423
Algeria,DZA,2016,322.413818359375
Algeria,DZA,2017,105.71427154541016
Algeria,DZA,2018,19.642852783203125
Algeria,DZA,2019,1.990056037902832
Algeria,DZA,2020,11.38211441040039
Algeria,DZA,2021,-3.065699338912964
Argentina,ARG,1999,52.941165924072266
Argentina,ARG,2000,38.46154022216797
Argentina,ARG,2001,19.444442749023438
Argentina,ARG,2002,9.302330017089844
Argentina,ARG,2003,38.29786682128906
Argentina,ARG,2004,7.692313194274902
Argentina,ARG,2005,15.714275360107422
Argentina,ARG,2006,11.111116409301758
Argentina,ARG,2007,21.000003814697266
Argentina,ARG,2008,31.955921173095703
Argentina,ARG,2009,-47.0535888671875
Argentina,ARG,2010,12.888395309448242
Argentina,ARG,2011,1779.147705078125
Argentina,ARG,2012,406.3796081542969
Argentina,ARG,2013,84.43827819824219
Argentina,ARG,2014,5.770981311798096
Argentina,ARG,2015,-7.908934593200684
Argentina,ARG,2016,-2.792346477508545
Argentina,ARG,2017,15.021371841430664
Argentina,ARG,2018,558.646484375
Argentina,ARG,2019,639.57080078125
Argentina,ARG,2020,68.10822296142578
Argentina,ARG,2021,63.316871643066406
Asia,,1991,0
Asia,,1992,287.4999694824219
Asia,,1993,83.87098693847656
Asia,,1994,26.315773010253906
Asia,,1995,37.528072357177734
Asia,,1996,46.55716323852539
Asia,,1997,60.370018005371094
Asia,,1998,43.78739547729492
Asia,,1999,46.82542037963867
Asia,,2000,55.38718795776367
Asia,,2001,45.2204475402832
Asia,,2002,39.04616928100586
Asia,,2003,36.65736770629883
Asia,,2004,32.036624908447266
Asia,,2005,27.153133392333984
Asia,,2006,24.044084548950195
Asia,,2007,19.949161529541016
Asia,,2008,21.273983001708984
Asia,,2009,29.204320907592773
Asia,,2010,42.070533752441406
Asia,,2011,76.60194396972656
Asia,,2012,50.5528678894043
Asia,,2013,87.70832061767578
Asia,,2014,102.9685287475586
Asia,,2015,54.19198226928711
Asia,,2016,51.13967514038086
Asia,,2017,57.48326873779297
Asia,,2018,42.622039794921875
Asia,,2019,26.135433197021484
Asia,,2020,19.37708854675293
Asia,,2021,23.945785522460938
Asia Pacific (BP),,1991,136.24996948242188
Asia Pacific (BP),,1992,192.06349182128906
Asia Pacific (BP),,1993,56.159423828125
Asia Pacific (BP),,1994,23.897911071777344
Asia Pacific (BP),,1995,32.322288513183594
Asia Pacific (BP),,1996,38.919437408447266
Asia Pacific (BP),,1997,49.77030944824219
Asia Pacific (BP),,1998,38.025535583496094
Asia Pacific (BP),,1999,41.07441711425781
Asia Pacific (BP),,2000,49.68021011352539
Asia Pacific (BP),,2001,42.01365661621094
Asia Pacific (BP),,2002,36.25351333618164
Asia Pacific (BP),,2003,34.67075729370117
Asia Pacific (BP),,2004,31.096506118774414
Asia Pacific (BP),,2005,26.558231353759766
Asia Pacific (BP),,2006,23.673831939697266
Asia Pacific (BP),,2007,19.958995819091797
Asia Pacific (BP),,2008,21.171676635742188
Asia Pacific (BP),,2009,31.59986686706543
Asia Pacific (BP),,2010,53.760433197021484
Asia Pacific (BP),,2011,80.49748229980469
Asia Pacific (BP),,2012,44.318450927734375
Asia Pacific (BP),,2013,84.47563934326172
Asia Pacific (BP),,2014,94.44840240478516
Asia Pacific (BP),,2015,51.863826751708984
Asia Pacific (BP),,2016,48.296058654785156
Asia Pacific (BP),,2017,55.26366424560547
Asia Pacific (BP),,2018,40.614234924316406
Asia Pacific (BP),,2019,26.053131103515625
Asia Pacific (BP),,2020,19.58489418029785
Asia Pacific (BP),,2021,24.601877212524414
Australia,AUS,1992,122.01834106445312
Australia,AUS,1993,20.661163330078125
Australia,AUS,1994,19.178081512451172
Australia,AUS,1995,21.551727294921875
Australia,AUS,1996,21.040189743041992
Australia,AUS,1997,19.7265625
Australia,AUS,1998,16.150081634521484
Australia,AUS,1999,14.044952392578125
Australia,AUS,2000,15.147781372070312
Australia,AUS,2001,15.828871726989746
Australia,AUS,2002,7.663893699645996
Australia,AUS,2003,8.404803276062012
Australia,AUS,2004,15.42721939086914
Australia,AUS,2005,15.215909957885742
Australia,AUS,2006,16.00238037109375
Australia,AUS,2007,16.666675567626953
Australia,AUS,2008,22.373628616333008
Australia,AUS,2009,108.5072021484375
Australia,AUS,2010,236.8389892578125
Australia,AUS,2011,109.12904357910156
Australia,AUS,2012,17.972362518310547
Australia,AUS,2013,59.510780334472656
Australia,AUS,2014,28.71030616760254
Australia,AUS,2015,25.111557006835938
Australia,AUS,2016,20.08306884765625
Australia,AUS,2017,19.86324691772461
Australia,AUS,2018,38.295101165771484
Australia,AUS,2019,48.36344909667969
Australia,AUS,2020,30.30921173095703
Australia,AUS,2021,30.831897735595703
Austria,AUT,1994,0
Austria,AUT,1995,0
Austria,AUT,1996,0
Austria,AUT,1997,100
Austria,AUT,1998,0
Austria,AUT,1999,0
Austria,AUT,2000,50
Austria,AUT,2001,66.66666412353516
Austria,AUT,2002,79.99999237060547
Austria,AUT,2003,66.66667175292969
Austria,AUT,2004,19.99999237060547
Austria,AUT,2005,16.768753051757812
Austria,AUT,2006,6.51097297668457
Austria,AUT,2007,8.270465850830078
Austria,AUT,2008,24.265396118164062
Austria,AUT,2009,62.398494720458984
Austria,AUT,2010,81.5689468383789
Austria,AUT,2011,95.9957275390625
Austria,AUT,2012,93.8778305053711
Austria,AUT,2013,85.48310089111328
Austria,AUT,2014,25.443876266479492
Austria,AUT,2015,19.33814239501953
Austria,AUT,2016,16.95852279663086
Austria,AUT,2017,15.780329704284668
Austria,AUT,2018,14.67024040222168
Austria,AUT,2019,16.97171974182129
Austria,AUT,2020,20.024812698364258
Austria,AUT,2021,4.012441635131836
Azerbaijan,AZE,2014,262.5
Azerbaijan,AZE,2015,58.620689392089844
Azerbaijan,AZE,2016,667.3912963867188
Azerbaijan,AZE,2017,5.382430553436279
Azerbaijan,AZE,2018,5.537629127502441
Azerbaijan,AZE,2019,12.582778930664062
Azerbaijan,AZE,2020,6.334841251373291
Azerbaijan,AZE,2021,17.446815490722656
Bangladesh,BGD,2003,800
Bangladesh,BGD,2004,111.11111450195312
Bangladesh,BGD,2005,78.9473648071289
Bangladesh,BGD,2006,58.823524475097656
Bangladesh,BGD,2007,66.6666488647461
Bangladesh,BGD,2008,68.88890075683594
Bangladesh,BGD,2009,65.13158416748047
Bangladesh,BGD,2010,76.49402618408203
Bangladesh,BGD,2011,31.828439712524414
Bangladesh,BGD,2012,55.65067672729492
Bangladesh,BGD,2013,42.533565521240234
Bangladesh,BGD,2014,28.85391616821289
Bangladesh,BGD,2015,18.833518981933594
Bangladesh,BGD,2016,10.892748832702637
Bangladesh,BGD,2017,15.164613723754883
Bangladesh,BGD,2018,8.567630767822266
Bangladesh,BGD,2019,19.07708740234375
Bangladesh,BGD,2020,19.095373153686523
Bangladesh,BGD,2021,15.53497314453125
Belarus,BLR,2014,400.00006103515625
Belarus,BLR,2015,349.99993896484375
Belarus,BLR,2016,188.88890075683594
Belarus,BLR,2017,242.3076934814453
Belarus,BLR,2018,32.58427429199219
Belarus,BLR,2019,51.694915771484375
Belarus,BLR,2020,-5.027932167053223
Belarus,BLR,2021,67.66563415527344
Belgium,BEL,2005,0
Belgium,BEL,2006,100
Belgium,BEL,2007,200
Belgium,BEL,2008,600
Belgium,BEL,2009,295.23809814453125
Belgium,BEL,2010,237.3494110107422
Belgium,BEL,2011,108.75000762939453
Belgium,BEL,2012,83.74678802490234
Belgium,BEL,2013,23.091243743896484
Belgium,BEL,2014,9.160364151000977
Belgium,BEL,2015,5.893564224243164
Belgium,BEL,2016,1.2760519981384277
Belgium,BEL,2017,6.865251064300537
Belgium,BEL,2018,17.999876022338867
Belgium,BEL,2019,8.926010131835938
Belgium,BEL,2020,20.08185386657715
Belgium,BEL,2021,9.848260879516602
Brazil,BRA,2013,389.1421813964844
Brazil,BRA,2014,235.48533630371094
Brazil,BRA,2015,266.3607482910156
Brazil,BRA,2016,44.71205520629883
Brazil,BRA,2017,875.6129150390625
Brazil,BRA,2018,316.13116455078125
Brazil,BRA,2019,92.24915313720703
Brazil,BRA,2020,61.51797866821289
Brazil,BRA,2021,55.85921859741211
Bulgaria,BGR,2010,400
Bulgaria,BGR,2011,573.3333740234375
Bulgaria,BGR,2012,705.9405517578125
Bulgaria,BGR,2013,67.19900512695312
Bulgaria,BGR,2014,-8.008813858032227
Bulgaria,BGR,2015,10.463261604309082
Bulgaria,BGR,2016,0.21692514419555664
Bulgaria,BGR,2017,1.2240171432495117
Bulgaria,BGR,2018,-4.290199279785156
Bulgaria,BGR,2019,7.426786422729492
Bulgaria,BGR,2020,2.658987045288086
Bulgaria,BGR,2021,0.5886077880859375
CIS (BP),,2010,3155.931884765625
CIS (BP),,2011,659.0838012695312
CIS (BP),,2012,247.70314025878906
CIS (BP),,2013,197.32749938964844
CIS (BP),,2014,841.2980346679688
CIS (BP),,2015,131.73193359375
CIS (BP),,2016,55.79829406738281
CIS (BP),,2017,22.774517059326172
CIS (BP),,2018,21.160877227783203
CIS (BP),,2019,76.85033416748047
CIS (BP),,2020,101.70927429199219
CIS (BP),,2021,20.786535263061523
Canada,CAN,1993,0
Canada,CAN,1994,0
Canada,CAN,1995,87.17943572998047
Canada,CAN,1996,53.42466735839844
Canada,CAN,1997,17.857133865356445
Canada,CAN,1998,45.45456314086914
Canada,CAN,1999,31.249988555908203
Canada,CAN,2000,23.809528350830078
Canada,CAN,2001,19.230758666992188
Canada,CAN,2002,16.1290283203125
Canada,CAN,2003,0.2314925193786621
Canada,CAN,2004,-37.41339874267578
Canada,CAN,2005,19.188201904296875
Canada,CAN,2006,23.52939796447754
Canada,CAN,2007,23.809528350830078
Canada,CAN,2008,34.615386962890625
Canada,CAN,2009,211.42857360839844
Canada,CAN,2010,134.45465087890625
Canada,CAN,2011,123.71461486816406
Canada,CAN,2012,54.06396484375
Canada,CAN,2013,70.1836929321289
Canada,CAN,2014,41.44198989868164
Canada,CAN,2015,36.54136657714844
Canada,CAN,2016,39.28807830810547
Canada,CAN,2017,-11.372703552246094
Canada,CAN,2018,6.246435642242432
Canada,CAN,2019,7.448780536651611
Canada,CAN,2020,4.91708517074585
Canada,CAN,2021,20.589935302734375
Central America (BP),,2006,18.97120475769043
Central America (BP),,2007,1.5412211418151855
Central America (BP),,2008,0.4627108573913574
Central America (BP),,2009,11.147427558898926
Central America (BP),,2010,38.36819076538086
Central America (BP),,2011,22.6870059967041
Central America (BP),,2012,64.51811981201172
Central America (BP),,2013,47.939979553222656
Central America (BP),,2014,325.7697448730469
Central America (BP),,2015,4506.9638671875
Central America (BP),,2016,97.77871704101562
Central America (BP),,2017,24.0720272064209
Central America (BP),,2018,23.209117889404297
Central America (BP),,2019,23.369110107421875
Central America (BP),,2020,16.452014923095703
Central America (BP),,2021,16.983949661254883
Chile,CHL,2013,1884.9466552734375
Chile,CHL,2014,6689.150390625
Chile,CHL,2015,196.5035400390625
Chile,CHL,2016,87.50556945800781
Chile,CHL,2017,52.766502380371094
Chile,CHL,2018,31.385744094848633
Chile,CHL,2019,23.082042694091797
Chile,CHL,2020,20.866191864013672
