Entity,Code,Year,Solar (% equivalent primary energy)
Africa,,1971,0
Africa,,1972,0
Africa,,1973,0
Africa,,1974,0
Africa,,1975,0
Africa,,1976,0
Africa,,1977,0
Africa,,1978,0
Africa,,1979,0
Africa,,1980,0
Africa,,1981,0
Africa,,1982,0
Africa,,1983,0
Africa,,1984,0
Africa,,1985,0
Africa,,1986,0
Africa,,1987,0
Africa,,1988,0
Africa,,1989,0
Africa,,1990,0
Africa,,1991,0
Africa,,1992,0
Africa,,1993,0
Africa,,1994,0
Africa,,1995,0
Africa,,1996,0
Africa,,1997,0
Africa,,1998,0
Africa,,1999,0
Africa,,2000,0.0011007968569174409
Africa,,2001,0.0013241460546851158
Africa,,2002,0.0014531702036038041
Africa,,2003,0.001643700641579926
Africa,,2004,0.00186829618178308
Africa,,2005,0.0022147020790725946
Africa,,2006,0.002783736679702997
Africa,,2007,0.0035508323926478624
Africa,,2008,0.004789644852280617
Africa,,2009,0.00617874413728714
Africa,,2010,0.013429860584437847
Africa,,2011,0.03689415007829666
Africa,,2012,0.05823969095945358
Africa,,2013,0.044672735035419464
Africa,,2014,0.1044953465461731
Africa,,2015,0.1736638993024826
Africa,,2016,0.2779333293437958
Africa,,2017,0.3892137110233307
Africa,,2018,0.48900389671325684
Africa,,2019,0.6120092868804932
Africa,,2020,0.803945779800415
Africa,,2021,0.7780782580375671
Africa (BP),,1971,0
Africa (BP),,1972,0
Africa (BP),,1973,0
Africa (BP),,1974,0
Africa (BP),,1975,0
Africa (BP),,1976,0
Africa (BP),,1977,0
Africa (BP),,1978,0
Africa (BP),,1979,0
Africa (BP),,1980,0
Africa (BP),,1981,0
Africa (BP),,1982,0
Africa (BP),,1983,0
Africa (BP),,1984,0
Africa (BP),,1985,0
Africa (BP),,1986,0
Africa (BP),,1987,0
Africa (BP),,1988,0
Africa (BP),,1989,0
Africa (BP),,1990,0
Africa (BP),,1991,0
Africa (BP),,1992,0
Africa (BP),,1993,0
Africa (BP),,1994,0
Africa (BP),,1995,0
Africa (BP),,1996,0
Africa (BP),,1997,0
Africa (BP),,1998,0
Africa (BP),,1999,0
Africa (BP),,2000,0.0011006584390997887
Africa (BP),,2001,0.0013239533873274922
Africa (BP),,2002,0.0014529313193634152
Africa (BP),,2003,0.0016441404586657882
Africa (BP),,2004,0.0018683692906051874
Africa (BP),,2005,0.0022147679701447487
Africa (BP),,2006,0.002784080570563674
Africa (BP),,2007,0.003550922032445669
Africa (BP),,2008,0.004789488855749369
Africa (BP),,2009,0.006178827024996281
Africa (BP),,2010,0.013430020771920681
Africa (BP),,2011,0.036894168704748154
Africa (BP),,2012,0.05823969841003418
Africa (BP),,2013,0.04467273876070976
Africa (BP),,2014,0.1044953390955925
Africa (BP),,2015,0.1736636906862259
Africa (BP),,2016,0.2779333293437958
Africa (BP),,2017,0.3892137110233307
Africa (BP),,2018,0.48900389671325684
Africa (BP),,2019,0.6120092272758484
Africa (BP),,2020,0.803945779800415
Africa (BP),,2021,0.7780782580375671
Algeria,DZA,1965,0
Algeria,DZA,1966,0
Algeria,DZA,1967,0
Algeria,DZA,1968,0
Algeria,DZA,1969,0
Algeria,DZA,1970,0
Algeria,DZA,1971,0
Algeria,DZA,1972,0
Algeria,DZA,1973,0
Algeria,DZA,1974,0
Algeria,DZA,1975,0
Algeria,DZA,1976,0
Algeria,DZA,1977,0
Algeria,DZA,1978,0
Algeria,DZA,1979,0
Algeria,DZA,1980,0
Algeria,DZA,1981,0
Algeria,DZA,1982,0
Algeria,DZA,1983,0
Algeria,DZA,1984,0
Algeria,DZA,1985,0
Algeria,DZA,1986,0
Algeria,DZA,1987,0
Algeria,DZA,1988,0
Algeria,DZA,1989,0
Algeria,DZA,1990,0
Algeria,DZA,1991,0
Algeria,DZA,1992,0
Algeria,DZA,1993,0
Algeria,DZA,1994,0
Algeria,DZA,1995,0
Algeria,DZA,1996,0
Algeria,DZA,1997,0
Algeria,DZA,1998,0
Algeria,DZA,1999,0
Algeria,DZA,2000,0
Algeria,DZA,2001,0
Algeria,DZA,2002,0
Algeria,DZA,2003,0
Algeria,DZA,2004,0
Algeria,DZA,2005,0
Algeria,DZA,2006,0
Algeria,DZA,2007,0
Algeria,DZA,2008,0
Algeria,DZA,2009,0
Algeria,DZA,2010,0.005751775577664375
Algeria,DZA,2011,0.010760946199297905
Algeria,DZA,2012,0.014433098956942558
Algeria,DZA,2013,0.014515886083245277
Algeria,DZA,2014,0.02775651589035988
Algeria,DZA,2015,0.025293588638305664
Algeria,DZA,2016,0.10630122572183609
Algeria,DZA,2017,0.21502111852169037
Algeria,DZA,2018,0.23763257265090942
Algeria,DZA,2019,0.2332937866449356
Algeria,DZA,2020,0.2749038636684418
Algeria,DZA,2021,0.2537998855113983
Argentina,ARG,1965,0
Argentina,ARG,1966,0
Argentina,ARG,1967,0
Argentina,ARG,1968,0
Argentina,ARG,1969,0
Argentina,ARG,1970,0
Argentina,ARG,1971,0
Argentina,ARG,1972,0
Argentina,ARG,1973,0
Argentina,ARG,1974,0
Argentina,ARG,1975,0
Argentina,ARG,1976,0
Argentina,ARG,1977,0
Argentina,ARG,1978,0
Argentina,ARG,1979,0
Argentina,ARG,1980,0
Argentina,ARG,1981,0
Argentina,ARG,1982,0
Argentina,ARG,1983,0
Argentina,ARG,1984,0
Argentina,ARG,1985,0
Argentina,ARG,1986,0
Argentina,ARG,1987,0
Argentina,ARG,1988,0
Argentina,ARG,1989,0
Argentina,ARG,1990,0
Argentina,ARG,1991,0
Argentina,ARG,1992,0
Argentina,ARG,1993,0
Argentina,ARG,1994,0
Argentina,ARG,1995,0
Argentina,ARG,1996,0
Argentina,ARG,1997,0
Argentina,ARG,1998,0.00000730344572730246
Argentina,ARG,1999,0.000011056523362640291
Argentina,ARG,2000,0.000015225888091663364
Argentina,ARG,2001,0.000018519309378461912
Argentina,ARG,2002,0.000020968525859643705
Argentina,ARG,2003,0.000026889687433140352
Argentina,ARG,2004,0.000027075990146840923
Argentina,ARG,2005,0.00002933773612312507
Argentina,ARG,2006,0.00003083560659433715
Argentina,ARG,2007,0.000035572174965636805
Argentina,ARG,2008,0.00004587268631439656
Argentina,ARG,2009,0.000024896291506593116
Argentina,ARG,2010,0.000026933395929518156
Argentina,ARG,2011,0.0004887488321401179
Argentina,ARG,2012,0.002372252754867077
Argentina,ARG,2013,0.004179965239018202
Argentina,ARG,2014,0.004408178851008415
Argentina,ARG,2015,0.003967834170907736
Argentina,ARG,2016,0.003852956695482135
Argentina,ARG,2017,0.004410553723573685
Argentina,ARG,2018,0.02908874675631523
Argentina,ARG,2019,0.22646810114383698
Argentina,ARG,2020,0.4008212983608246
Argentina,ARG,2021,0.602580726146698
Asia,,1965,0
Asia,,1966,0
Asia,,1967,0
Asia,,1968,0
Asia,,1969,0
Asia,,1970,0
Asia,,1971,0
Asia,,1972,0
Asia,,1973,0
Asia,,1974,0
Asia,,1975,0
Asia,,1976,0
Asia,,1977,0
Asia,,1978,0
Asia,,1979,0
Asia,,1980,0
Asia,,1981,0
Asia,,1982,0
Asia,,1983,0
Asia,,1984,0
Asia,,1985,0
Asia,,1986,0
Asia,,1987,0
Asia,,1988,0
Asia,,1989,0
Asia,,1990,0.000045932411012472585
Asia,,1991,0.00004420382538228296
Asia,,1992,0.00016420472820755094
Asia,,1993,0.0002899186802096665
Asia,,1994,0.00034817730193026364
Asia,,1995,0.0004588303854689002
Asia,,1996,0.0006440578144975007
Asia,,1997,0.0010038150940090418
Asia,,1998,0.0014409502036869526
Asia,,1999,0.002048990223556757
Asia,,2000,0.0030634505674242973
Asia,,2001,0.004272825550287962
Asia,,2002,0.005622544791549444
Asia,,2003,0.007080430630594492
Asia,,2004,0.008475278504192829
Asia,,2005,0.009968586266040802
Asia,,2006,0.011619605123996735
Asia,,2007,0.013044781982898712
Asia,,2008,0.015216952189803123
Asia,,2009,0.01910833828151226
Asia,,2010,0.025318196043372154
Asia,,2011,0.04221690446138382
Asia,,2012,0.06098226457834244
Asia,,2013,0.11088628321886063
Asia,,2014,0.217360258102417
Asia,,2015,0.32667458057403564
Asia,,2016,0.4795739948749542
Asia,,2017,0.7276332378387451
Asia,,2018,0.995415985584259
